smiles,smiles,ratio,temperature,value
[Cl-].C[N+](C)(C)CCO,OC(=O)C(O)(c1ccccc1)c2ccccc2,1:1,353.15,46.90
[Br-].CCC[N+](CCC)(CCC)CCC,OCCO,1:4,333.15,44.01
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCCNC(N)=N)C(O)=O,8:1,333.15,38.10
NCCCN,OCCCCO,1:7.40,308.15,44.71
CC(C)(C)NCCO.Cl,OCCO,1:3,313.15,46.04
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:6,338.15,45.90
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,2:1,314.26,19.94
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCO,1:7,333.00,47.90
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCOCCO,1:16,313.15,43.55
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,OCCOCCO,1:7,343.00,38.58
[Cl-].[Cl-].[Zn++],OCCCCCCO,1:3,297.02,49.44
CC(C)(C)NCCO.Cl,OCC(O)CO,1:2,298.15,58.94
CC(C)(C)NCCO.Cl,OCCOCCO,1:3,313.00,60.52
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCO,1:4,313.00,58.11
[Cl-].C[N+](C)(C)CCO,OCCOCCO,1:2,293.00,48.40
NCCCN,OCCCCO,1:2.47,303.15,45.45
[Br-].CCC[N+](CCC)(CCC)CCC,OCCO,1:3,353.15,41.91
[Br-].CCC[N+](CCC)(CCC)CCC,OCCO,1:3,323.15,44.39
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCC(O)=O)C(O)=O,8:1,343.15,37.20
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,1:2,328.15,69.95
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:4,318.00,55.20
NCCCN,OCCCCO,1:0.27,318.15,41.29
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2.5:1,328.15,69.00
OCCOCCOCCOCCOCCO,NC(N)=S,4:1,338.00,41.79
[Br-].CCC[N+](CCC)(CCC)CCC,OCCO,1:5,343.15,43.40
CC(C)(C)NCCO.Cl,OCC(O)CO,1:4,318.15,56.96
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,COc1ccc(C(C)=O)c(O)c1,5:5,338.15,40.21
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:3,303.00,49.90
NCCCN,OCCCCO,1:0.04,313.15,39.58
[Cl-].C[N+](C)(C)CCO,OC(=O)CC(O)=O,1:1,425.15,52.30
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCO,1:4,323.00,45.96
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCO,1:4,303.15,46.88
[Cl-].C[N+](C)(C)CCO,OCCO,1:19,291.00,45.80
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:5,318.15,47.20
NCCCN,OCCCCO,1:4.65,313.15,44.56
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:4,298.15,51.29
[Cl-].C[N+](C)(C)CCO,OCCOCCO,1:2,343.00,36.47
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2.5:1,348.15,65.00
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1:4,328.00,43.66
[Br-].CCC[N+](CCC)(CCC)CCC,OCC(O)CO,1:2,323.15,48.67
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:8,338.15,46.90
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:19,308.00,61.30
NCCCN,OCCCCO,1:0.27,313.15,41.77
[Cl-].C[N+](C)(C)CCO,CC(O)CCO,1:5.67,295.00,38.90
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,NCCO,1:5,358.15,33.90
NCCCN,OCCCCO,1:0.15,303.15,41.48
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,1:1,332.97,19.47
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1:4,338.00,43.12
[Br-].CCC[N+](CCC)(CCC)CCC,OCC(O)CO,1:4,343.15,49.76
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:19,299.00,46.00
CC(C)(C)NCCO.Cl,OCCO,1:3,323.15,44.99
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1.5:1,348.15,63.00
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,298.15,70.40
[Cl-].C[N+](C)(C)CCO,OCCCCCCO,1:3,319.00,43.50
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1.5:1,298.15,73.60
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCO,1:6,343.00,48.61
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:3,301.00,47.30
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCO,1:10,343.15,40.86
[Cl-].C[N+](C)(C)CCO,CC(O)CCO,1:19,293.00,34.40
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCCNC(N)=N)C(O)=O,6:1,353.15,37.40
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:9,295.00,34.30
[Cl-].C[N+](C)(C)CCO,OCCO,1:5.67,293.00,49.60
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,1:2,358.15,68.61
[Br-].CCC[N+](CCC)(CCC)CCC,OCCOCCOCCO,1:4,303.15,45.96
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:19,303.00,33.20
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,OCCO,1:11,298.15,66.93
[Cl-].C[N+](C)(C)CCO,OCCO,1:3,293.00,48.30
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:3,298.00,50.30
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:8,348.15,46.20
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,2:1,298.24,20.94
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:4,299.00,34.70
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2,313.00,54.20
C[N+](C)(C)CC([O-])=O,CC(O)C(O)=O,1:2,303.15,46.00
[Cl-].C[N+](C)(C)CCO,CCC(O)CO,1:4,293.00,34.70
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:4,308.15,50.15
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,1:1,328.35,20.44
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,OCCOCCO,1:2,313.00,49.64
[Cl-].C[N+](C)(C)CCO,CC(O)CCO,1:9,303.00,36.90
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,NCCO,1:4,328.15,34.60
NCCCN,OCCCCO,1:0.82,303.15,44.83
NCCCN,OCCCCO,1:7.40,298.15,45.35
[Cl-].C[N+](C)(C)CCO,OCCO,1:9,289.00,47.80
[Br-].CCC[N+](CCC)(CCC)CCC,OCCOCCOCCO,1:3,323.15,44.28
[Br-].CC[N+](CC)(CC)CC,CCCC[NH3+],1:1,343.15,50.43
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,1:3,333.38,19.41
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2.33,323.00,46.00
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2.5:1,318.15,71.00
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:9,293.00,61.60
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCO,1:4,303.00,52.43
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCO,1:4,333.00,46.08
[Cl-].C[N+](C)(C)CCO,NCCO,1:7,308.15,48.50
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,1:3,303.85,22.25
[Cl-].[Cl-].[Zn++],OCCCCCCO,1:3,299.02,47.52
[Cl-].C[N+](C)(C)CCO,OCCO,1:3,287.00,49.20
[Cl-].C[N+](C)(C)CCO,CC(O)CCO,1:5.67,305.00,38.00
[Cl-].[Cl-].[Zn++],CC(N)=O,1:4,293.02,53.00
CCCC[N+](CCCC)(CCCC)CCCC.O[S]([O-])(=O)=O,OC(=O)COCC(O)=O,1:1,343.15,42.82
[Cl-].C[N+](C)(C)CCO,CC(O)CCO,1:9,293.00,38.20
[Br-].CC[N+](CC)(CC)CC,CCCC[NH3+],1:1,343.15,44.42
[Cl-].C[N+](C)(C)CCO,OCCCCCCO,1:3,331.50,42.70
CCCC[N+](CCCC)(CCCC)CCCC.O[S]([O-])(=O)=O,OC(=O)COCC(O)=O,1:1,313.15,43.64
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:3,323.15,56.45
[Br-].CCC[N+](CCC)(CCC)CCC,OCC(O)CO,1:2,303.15,50.87
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCOCCO,1:10,338.15,41.11
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2,298.00,55.40
CC(C)(C)NCCO.Cl,OCCO,1:2,308.15,50.17
CCCC[N+](CCCC)(CCCC)CCCC.O[S]([O-])(=O)=O,OC(=O)COCC(O)=O,1:1,303.15,43.89
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:5.67,293.00,35.10
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:19,311.00,45.30
OCCOCCOCCOCCOCCO,CC(O)C(O)=O,4:1,308.00,44.33
[Cl-].C[N+](C)(C)CCO,OCCO,1:5.67,285.00,50.40
CC(C)c1ccc(C)cc1O,CCCCCCCC(O)=O,1:1,298.15,29.09
NCCCN,OCCCCO,1:0.67,318.15,43.35
NCCCN,OCCCCO,1:1.92,298.15,46.26
[Cl-].C[N+](C)(C)CCO,CCC(O)CO,1:19,297.00,32.50
NCCCN,OCCCCO,1:1.92,293.15,46.79
[Br-].CCC[N+](CCC)(CCC)CCC,OCCOCCOCCO,1:3,343.15,42.87
NCCCN,OCCCCO,1:3.29,293.15,46.48
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCO,1:5,313.00,45.74
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCO,1:4,323.15,46.82
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,NCCO,1:4,318.15,35.00
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:4,297.00,34.90
[Cl-].C[N+](C)(C)CCO,CCC(O)CO,1:19,303.00,31.90
[Cl-].C[N+](C)(C)CCO,OCCO,1:5.67,277.00,51.40
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:3,303.00,47.30
[Cl-].C[N+](C)(C)CCO,OCCCCCCO,1:19,326.50,41.30
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:3,307.00,47.10
NCCCN,OCCCCO,1:0.55,293.15,45.26
OCCOCCOCCOCCOCCO,CNC(C)=O,1:2,338.00,38.02
[Cl-].C[N+](C)(C)CCO,CC(O)CCO,1:19,299.00,33.90
[Br-].CCC[N+](CCC)(CCC)CCC,OCCOCCOCCO,1:2.5,333.15,43.86
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCC(O)=O)C(O)=O,9:1,313.15,33.60
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,NCCO,1:6,358.15,34.10
[Cl-].C[N+](C)(C)CCO,CCC(O)CO,1:19,299.00,32.30
CC(C)(C)NCCO.Cl,OCCOCCO,1:3,293.00,64.95
[Cl-].C[N+](C)(C)CCO,OCCCCCCO,1:5.67,319.00,42.60
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,338.15,62.60
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,3:1,298.20,23.77
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCOCCO,1:16,323.15,44.99
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,COc1ccc(C(C)=O)c(O)c1,3:7,328.15,39.44
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:8,298.15,50.30
[Cl-].[Cl-].[Zn++],NC(N)=O,1:3.5,303.02,68.80
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:7,318.15,48.20
[Cl-].C[N+](C)(C)CCO,CC(O)C(O)=O,1:2,303.30,47.60
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCOCCO,1:16,298.15,45.37
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:6,308.15,48.40
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,CN(CCO)CCO,1:16,333.15,40.15
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:5.67,301.00,34.20
[Cl-].C[N+](C)(C)CCO,CCC(O)CO,1:5.67,299.00,33.40
NCCCN,OCCCCO,1:0.09,318.15,39.70
NCCCN,OCCCCO,1:1.23,293.15,46.47
[Br-].CCC[N+](CCC)(CCC)CCC,OCC(O)CO,1:4,353.15,48.87
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,NCCO,1:3,328.15,34.50
[Br-].CCC(O)=O,OCC(O)CO,1:2,298.15,51.70
CC(C)(C)NCCO.Cl,OCCO,1:3,298.15,47.51
[Cl-].C[N+](C)(C)CCO,NCCO,1:6,358.15,45.0869
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCO,1:7,343.00,47.46
[Br-].CCC[N+](CCC)(CCC)CCC,OCC(O)CO,1:2,333.15,47.89
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:9,299.00,33.90
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:9,309.00,32.80
CC(C)(C)NCCO.Cl,OCCO,1:2,313.15,49.63
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,1:3,298.16,23.32
[Cl-].C[N+](C)(C)CCO,OCCO,1:3,281.00,50.00
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCO,1:4,323.00,51.67
[Br-].CCC[N+](CCC)(CCC)CCC,OCCO,1:5,323.15,45.09
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,1:1,313.35,23.58
[Cl-].C[N+](C)(C)CCO,OC(=O)COCC(O)=O,1:1,323.15,63.00
NCCCN,OCCCCO,1:0.21,308.15,41.51
[Cl-].C[N+](C)(C)CCO,OCCO,1:4,293.00,49.00
[Cl-].C[N+](C)(C)CCO,NC(=O)C(F)(F)F,1:2,313.15,35.90
[Cl-].C[N+](C)(C)CCO,NCCO,1:8,308.15,48.80
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2:1,308.15,72.00
[Cl-].C[N+](C)(C)CCO,OCCCCCCO,1:3,334.50,42.70
[Cl-].C[N+](C)(C)CCO,CC(O)CCO,1:19,301.00,33.70
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:9,309.00,46.00
NCCCN,OCCCCO,1:0.44,298.15,44.23
[Cl-].C[N+](C)(C)CCO,OCCOCCOCCOCCOCCO,1:7,303.00,50.99
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:5.67,307.00,33.50
CC(C)C1CCC(C)CC1O,CC1(C)C2CCC1(C)C(=O)C2,3:2,298.15,29.41
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:2,318.15,45.59
CC(C)C1CCC(C)CC1O,CCCCCCCC(O)=O,1:2,303.69,24.84
[Br-].CCC[N+](CCC)(CCC)CCC,OCCO,1:3,333.15,43.59
NCCCN,OCCCCO,1:2.47,298.15,46.14
[Cl-].C[N+](C)(C)CCO,CCC(O)CO,1:19,309.00,31.30
[Br-].CCC[N+](CCC)(CCC)CCC,OCCOCCOCCO,1:4,323.15,43.96
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:19,305.00,45.70
[Cl-].C[N+](C)(C)CCO,OCCCCCCO,1:19,319.00,42.10
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:19,293.00,63.70
[Cl-].C[N+](C)(C)CCO,OC(=O)COCC(O)=O,1:1,343.15,58.30
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,277.00,50.00
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:9,307.00,46.10
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,293.00,47.70
NCCCN,OCCCCO,1:0.27,303.15,42.51
[Cl-].C[N+](C)(C)CCO,OCCCCO,1:9,305.00,46.20
CC(C)(C)NCCO.Cl,OCC(O)CO,1:2,308.15,57.63
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,289.00,48.30
[Cl-].C[N+](C)(C)CCO,OCCO,1:5.67,291.00,49.70
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,OC=O,1:1,298.15,37.20
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCOCCO,1:16,328.15,41.82
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:19,298.00,62.80
NCCCN,OCCCCO,1:0.55,303.15,44.02
[Br-].CCC[N+](CCC)(CCC)CCC,OCC(O)CO,1:2,343.15,46.65
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:4,308.00,56.10
NCCCN,OCCCCO,1:7.40,293.15,45.86
[Cl-].C[N+](C)(C)CCO,OC(=O)C(O)=O,1:2,298.15,75.30
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,CN(CCO)CCO,1:7,353.15,40.87
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2:1,348.15,64.00
NCCCN,OCCCCO,1:4.65,318.15,44.40
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2.5:1,298.15,75.00
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,COc1ccc(C(C)=O)c(O)c1,4:6,308.15,42.65
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:8,308.15,49.50
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:7,348.15,45.30
[Cl-].C[N+](C)(C)CCO,OCCO,1:6,298.15,46.90
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,COc1ccc(C(C)=O)c(O)c1,5:5,328.15,41.01
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CCC(O)=O)C(O)=O,10:1,323.15,36.50
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCO,1:4,303.00,61.29
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:5.67,303.00,34.00
O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,COc1ccc(C(C)=O)c(O)c1,3:7,338.15,38.38
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:7,358.15,44.40
[Br-].CC[N+](CC)(CC)CC,CCCC[NH3+],1:1,333.15,46.60
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NCCO,1:5,358.15,44.00
